deal_id,property_id,buyer_id,seller_id,agent_id,stage,byana_amount,byana_date,payment_25_amount,payment_25_date,registry_date,transfer_date,agreed_price,created_at,updated_at
D001,P007,B001,S001,A003,Byana Paid,100000,2026-06-15,0,,2026-09-15,,1440000,2026-06-15,2026-07-01
D002,P024,B002,S002,A001,25% Paid,200000,2026-05-20,250000,2026-06-10,2026-09-30,,1000000,2026-05-20,2026-07-10
D003,P009,B003,S003,A001,Documents Complete,300000,2026-06-01,500000,2026-06-20,2026-10-05,,3000000,2026-06-01,2026-07-12
D004,P004,B004,S004,A003,Byana Paid,50000,2026-07-01,0,,2026-08-20,,540000,2026-07-01,2026-07-15
D005,P014,B005,S005,A002,Under Negotiation,70000,2026-06-05,0,,2026-09-01,,720000,2026-06-05,2026-07-20
D006,P022,B006,S006,A002,25% Paid,100000,2026-05-10,135000,2026-06-01,2026-09-20,,540000,2026-05-10,2026-07-05
D007,P002,B007,S007,A002,Registered,150000,2026-04-01,0,2026-04-20,2026-07-30,2026-08-05,270000,2026-04-01,2026-06-30
D008,P018,B008,S008,A001,Byana Paid,200000,2026-06-10,0,,2026-10-10,,3000000,2026-06-10,2026-07-18
D009,P001,B009,S009,A001,Transferred,50000,2026-03-01,200000,2026-04-01,2026-06-01,2026-06-15,160000,2026-03-01,2026-06-20
D010,P016,B010,S010,A003,Documents Complete,120000,2026-05-01,0,,2026-09-01,,1440000,2026-05-01,2026-06-25
D011,P025,B011,S011,A002,Byana Paid,140000,2026-06-05,0,,2026-11-01,,1440000,2026-06-05,2026-07-02
D012,P030,B012,S012,A001,25% Paid,36000,2026-04-01,90000,2026-04-15,2026-08-01,,360000,2026-04-01,2026-06-10
